Date,Close,Predictions
2018-03-05,275.6499938964844,283.57297
2018-03-06,274.1499938964844,284.4803
2018-03-07,268.8999938964844,284.38177
2018-03-08,273.3999938964844,282.3217
2018-03-09,268.3500061035156,281.416
2018-03-12,276.04998779296875,279.63077
2018-03-13,278.20001220703125,280.3303
2018-03-14,278.5,282.38907
2018-03-15,279.6000061035156,284.5117
2018-03-16,272.3999938964844,286.41885
2018-03-19,260.6000061035156,285.53864
2018-03-20,262.04998779296875,280.35846
2018-03-21,263.20001220703125,275.44034
2018-03-22,258.8500061035156,272.2531
2018-03-23,257.8999938964844,269.334
2018-03-26,262.20001220703125,267.11432
2018-03-27,263.79998779296875,267.08298
2018-03-28,258.75,268.40277
2018-04-02,276.95001220703125,268.44022
2018-04-03,274.79998779296875,273.42996
2018-04-04,270.25,278.22775
2018-04-05,273.0,280.3063
2018-04-06,272.70001220703125,281.5853
2018-04-09,277.79998779296875,282.02405
2018-04-10,275.5,283.49255
2018-04-11,273.8500061035156,284.17972
2018-04-12,273.8500061035156,283.87585
2018-04-13,275.5,283.25833
2018-04-16,279.6499938964844,283.16104
2018-04-17,280.95001220703125,284.5162
2018-04-18,284.1000061035156,286.428
2018-04-19,286.20001220703125,288.98544
2018-04-20,286.29998779296875,291.70303
2018-04-23,283.6000061035156,293.74045
2018-04-24,283.1499938964844,294.11566
2018-04-25,289.1000061035156,293.60797
2018-04-26,291.20001220703125,294.67514
2018-04-27,292.1000061035156,296.62564
2018-04-30,297.54998779296875,298.63922
2018-05-02,292.75,301.77942
2018-05-03,286.6499938964844,302.9531
2018-05-04,287.79998779296875,301.2182
2018-05-07,294.20001220703125,299.22733
2018-05-08,289.70001220703125,299.5935
2018-05-09,292.0,299.34244
2018-05-10,285.25,299.69415
2018-05-11,287.5,298.12253
2018-05-14,255.8999938964844,297.0088
2018-05-15,242.6499938964844,286.90067
2018-05-16,241.1000061035156,272.6213
2018-05-17,247.5,260.2575
2018-05-18,244.6999969482422,253.79398
2018-05-21,243.5500030517578,250.61584
2018-05-22,247.1499938964844,249.42006
2018-05-23,250.1999969482422,250.49869
2018-05-24,254.5,253.13846
